|srn|nl|keep_row
0|A dei di mi bron misrefi|De dag dat ik verbrandde en|keep row: both source and target contain non numerical text!
1|A ben de so taki wan dei mi mama ben bori okro.|Op een dag predikte mijn moeder <unk>|keep row: both source and target contain non numerical text!
2|Dan mi mama e bori a okro, ai bori a okro.|Dan predikt mijn moeder de eigen ogen en de natie|keep row: both source and target contain non numerical text!
3|Dan now a taigi wan fu den pikin sisa fu mi fu bori a okro go doro.|Toen zei hij nu tot een van mijn zussen van <unk> de natie <unk>|keep row: both source and target contain non numerical text!
4|Dan mi kon wraak.|Toen kwam ik <unk>|keep row: both source and target contain non numerical text!
5|Mi no wani du neks moro ini a oso.|Ik wil niet meer in het huis doen.|keep row: both source and target contain non numerical text!
6|Mi go sidon na wan sei.|Ik ging naast een zij.|keep row: both source and target contain non numerical text!
7|Dan baka wan pisten mi yere: Sam, luku.|Na verloop van <unk> ls profetie|keep row: both source and target contain non numerical text!
8|Mi o poti fu yu nanga Daniel na ini wan komtyi dya.|Ik zal u met <unk> in een natie stellen|keep row: both source and target contain non numerical text!
9|Dan mi taki: No, no, no, no, no.|Toen zei ik: <unk> <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
10|Mi no wani, mi no wani.|Ik en ik ben niet <unk>|keep row: both source and target contain non numerical text!
11|Bika mi denki taki Daniel e nyan esi moro mi.|Want ik denk dat <unk> sneller eten dan ik.|keep row: both source and target contain non numerical text!
12|So te yu e poti a spun skoinsi ini a komtyi, yu e teki a meti fosi.|Als u de natie <unk> in de situatie stelt , neemt u het dierlijke <unk>|keep row: both source and target contain non numerical text!
13|Mi sidon, mi taki: No, no, no, no, no.|Ik en ik zei: <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
14|Dan mi bigin rigeri drape.|Toen begon ik <unk> te prediken|keep row: both source and target contain non numerical text!
15|Mi rigeri.|Mijn organisatie|keep row: both source and target contain non numerical text!
16|Mi rigeri taki: No, no, no, mi no wani!|Ik <unk> zei: <unk> en ik ben niet <unk>|keep row: both source and target contain non numerical text!
17|Mi pusu mi sisa srefi.|Mijn zus en mijn zus|keep row: both source and target contain non numerical text!
18|Dan mi mama taki dati mi musu go na doro.|Toen zei mijn moeder dat ik naar <unk> moet gaan|keep row: both source and target contain non numerical text!
19|Mi tan tnapu drape nomo.|Ik ben daar blijven prediken|keep row: both source and target contain non numerical text!
20|Mi wraak.|Mijn organisatie|keep row: both source and target contain non numerical text!
21|Mi no go na doro, ma mi tnapu e luku fa mi sisa e puru a nyanyan.|Ik ga niet naar <unk> maar zie hoe mijn zus de natie wegneemt|keep row: both source and target contain non numerical text!
22|Dan mi go sidon leti ondro a cash and carry, pe a okro ben de tapu faya ete.|Vervolgens ging ik onder de natie <unk> zitten waar de natie op vurige dag was|keep row: both source and target contain non numerical text!
23|A cash and carry ben tnapu leti sei a ijskasi.|De natie <unk> verlichte de natie <unk>|keep row: both source and target contain non numerical text!
24|Na tapu a ijskasi wan koba ben de.|Op de situatie was er een natie <unk> .|keep row: both source and target contain non numerical text!
25|Èn fa a oso ben de fu udu, dan te wan sma ben waka psa, a ijskasi ben degedege.|Vanwege het huis van <unk> vormde de natie <unk>|keep row: both source and target contain non numerical text!
26|Mi ben luku atibron fasi.|Ik keek toorn en zag|keep row: both source and target contain non numerical text!
27|Den trawan san ben de dape taki: Yu tôf, yongu.|De anderen die waren en zeggen: Uw organisatie|keep row: both source and target contain non numerical text!
28|Mi no ben lafu, ma mi ben luku atibron fasi nomo.|Ik predikte niet , maar ik kijk op toorn en zag|keep row: both source and target contain non numerical text!
29|Dan mi pikin sisa taki baka: Mi poti fu yu nanga Daniel.|Toen zei mijn broertje en ik heb u met <unk> aangesteld|keep row: both source and target contain non numerical text!
30|Mi no abi bisi san yu wani taki.|Ik heb geen <unk> ding|keep row: both source and target contain non numerical text!
31|Mi ati ben bron moro tranga.|Ik was dieper verbrandd|keep row: both source and target contain non numerical text!
32|Mi ben tan sidon drape nomo.|Ik bleef daar zitten en daar|keep row: both source and target contain non numerical text!
33|Wan birfrow pikin ben de insei tu.|Er was <unk> kind.|keep row: both source and target contain non numerical text!
34|Dan leki fa a gwenti de taki te furu oso de ini wan dyari, dan den sma lobi fu libi makandra.|Het is dan ook dat wanneer er veel huizen in een toestand zijn , de mensen van eeuwig leven liefhebben|keep row: both source and target contain non numerical text!
35|Dan winsi birfrow pikin lon kon insei, yu no abi trobi, yu e nyan makandra nanga en.|Dan is er <unk> kind vlucht en je hebt er niet en je eet samen met hem.|keep row: both source and target contain non numerical text!
