|nl|srn
4104|Sommige mensen zien achter alles wat gebeurd iets geestelijks.|Son sma e si ala sani san e psa yeyefasi.
3355|Elke agent heeft zijn pistool aan zijn zij.|Ala skowtu e waka nanga en pipa na en seibere.
2974|Als je naar huis gaat, groet je man voor me.|Te yu go na oso, taki yu masra odi gi mi.
3631|Als je de kleren stijft, blijven ze langer goed.|Te yu e stesre den krosi, den e tan moro langa.
3220|I heb overal gezocht maar ik kan het nergens vinden.|Mi suku ala sei, ma mi no man feni en no wan presi.
3352|Ze kruipen hier naartoe.|Den e kruipi kon dis' sei.
227|Hij kreeg driemaal de Ere-orde van de Gele Ster: Officier, Commandeur, Drager van het Grootlint|Dri tron a kisi a Ere-orde van de Gele Ster: Leki Officier, Commandeur, nanga Drager Grootlint.
829|Wat had Anansi gedaan?|San Anansi du?
2666|Broeder, dit is niet de juiste manier van handelen in deze situatie.|Brada, disi a no a leti sani fu du ini a tori disi.
3628|Omdat mijn voet zo lang in gips gebleven is, is de knie stijf geworden.|Fa mi futu ben tan so langa ini a gips, a kindi kon steifi.
183|bij het verhoor zijn;|de na a verhoor;
534|Wie met de duivel speelt, hetzij voor geld, hetzij voor je ziel, of voor wat ook maar, die zal verliezen.|Awins' na moni, awins' na yu sili, awins' san, suma e prei nanga Didibri soso lasi a sa lasi.
2004|Wat is het kern van de zaak?|San na a fini fu a tori?
486|De slaven kenden de tijd ongeveer, zodat ze op tijd haar waren met de boten.|Den srafu sabi a ten, so a yuru dati den de klari nanga den boto.
1419|Hij heeft zijn buikje rond gegeten.|A nyan te en bere furu.
1515|Je kunt de tussenweg kiezen dan kom je er eerder aan.|Yu kan teki a boropasi, dan yu e doro moro esi.
139|Je moet je dan wel aan de afspraak houden.|Ma kon yu mu kon, kwetikweti.
266|Caprino verzorgt op afroep ook rondleidingen langs lieux de mémoire ('herinneringsplaatsen') in Suriname, zodat mensen zich bewust worden van hun collectief geheugen.|Sonten te sma aksi en, Caprino e hori koyri na lieux de mêmoire (presi fu tan memre di abi furu historija sabi) na Sranan, fu meki sma kan sabi den historija.
2250|Je mag nemen welke je wilt.|Yu kan teki iniwan fu den.
3331|Toen ik merkte dat ze me voor niemandal hadden laten wachten zonder me te helpen, heb ik ze van langs gegeven.|Di mi kon si tak' den meki mi wakti fu soso sondro fu den yepi mi, mi sanga-banga den.
63|"Als op uw verzoek een advocaat wordt aangewezen in de lidstaat die om uw overlevering vraagt, dan kan deze ""tweede advocaat"" uw Nederlandse advocaat advies en informatie geven die hij kan gebruiken in de procedure voor uw overlevering."|"Efu na tapu yu aksi yu kisi wan afkati na ini a kondre san de membre fu a bontu fu bakrakondre, nanga san e aksi dati Holand e lever yu uit, dan a ""tu den wan afkati"" o gi yu afkati fu Holand rai nanga enforma san en kan gebroiki na ini a waka fu a du fu lever yu uit."
3039|Als je oud wordt, wordt je kinds.|Te yu kon owru yu e bigin kensi.
1735|Geef de moed niet op! Je moet volhouden tot het eind.|No lasi ati! Yu mu hori doro te na a kba.
915|Anansi fluisterde: Kakkerlak, ga onder het bed.|Anansi taki safri: Kakalaka, go na ondro bedi.
2757|Het ongeluk dat hij met de fiets heeft opgelopen heeft hem toch niet thuis kunnen houden.|A mankeri san a kisi nanga baisigri no ori en na oso.
1068|Later op de avond schakelden ze over op een andere stijl.|Ma di a kon lati, den man drai anu.
1361|Gezegde: Je bent dommer dan de achterpoot van een koe.|Yu don moro wan kaw bakafutu.
3758|Iedereen is weg. Ik alleen ben achtergebleven.|Ala sma gwe. Na mi wawan tan na baka.
3752|Toen ik in Paramaribo was, logeerde ik bij de YWCA.|Di mi go na Paramaribo, mi ben tan na YWCA.
976|Klim nog hoger in de boom en laat de bladeren je bedekken.|Kren go moro hei na ini a bon, meki den wiwiri tapu yu.
1662|Een poot van de tafel is kort, daarom wankelt hij.|A wan sei futu fu a tafra syatu, dat' meki a e degedege.
1117|Ik zal proberen de naam van de koning te weten te komen.|Dan mi e go proberi fu yere fa a kownu nen.
551|De Nederlanders zegt: lekker is maar een vinger lang.|Bakra taki: 'Lekker is maar een vinger lang.
2819|De jonge dames van deze tijd dragen graag korte kleding stukken waarbij hun buik bloot blijf.|Den pikin dis'ten lobi weri syatu krosi san e poti den mindribere na doro.
1402|Die jongen heeft zijn grootmoeder bedrogen met haar geld.|A boi bedrigi en granmama nanga en moni.
279|In hetzelfde jaar ging Pansa als directeur met pensioen en zoon Maurino nam het roer over.|A srefi yari dati Pansa saka dyunta leki driktoro dan en manpikin Maurino teki abra leki tiriman.
